path,prob_normal,prob_hentai,prob_porn,prob_sexy,prob_anime,true_label,hentai_prob,porn_prob,hentai_oof,porn_oof,nsfw_max_raw,nsfw_max_oof
data\normal\normal_10_0012.jpg,1.0,5e-07,2.986e-05,1.18e-05,2.486e-05,normal,5e-07,2.986e-05,0.0,0.0,2.986e-05,0.0
data\normal\normal_10_0013.jpg,0.9985,0.0001793,0.0004792,0.0004494,0.000477,normal,0.0001793,0.0004792,0.0,0.001953125,0.0004792,0.001953125
data\normal\normal_10_0014.jpg,1.0,4e-07,3.04e-06,1.35e-05,1.496e-05,normal,4e-07,3.04e-06,0.0,0.0,3.04e-06,0.0
data\normal\normal_10_0015.jpg,0.998,0.0002328,0.001259,0.0003095,0.0003467,normal,0.0002328,0.001259,0.00043252595155709344,0.002472187886279357,0.001259,0.002472187886279357
data\normal\normal_10_0016.jpg,0.9976,2.325e-05,7.95e-05,0.0001819,0.002129,normal,2.325e-05,7.95e-05,0.0,0.0,7.95e-05,0.0
data\normal\normal_10_0017.jpg,1.0,2e-07,2e-07,4e-07,4.77e-06,normal,2e-07,2e-07,0.0,0.0,2e-07,0.0
data\normal\normal_10_0018.jpg,0.997,0.0002687,0.0008144,0.001135,0.0006723,normal,0.0002687,0.0008144,0.00043402777777777775,0.0008237232289950577,0.0008144,0.0008237232289950577
data\normal\normal_10_0019.jpg,0.9995,3.2e-06,6.38e-05,3.17e-05,0.0002513,normal,3.2e-06,6.38e-05,0.0,0.0,6.38e-05,0.0
data\normal\normal_10_0020.jpg,1.0,1e-07,3.34e-06,2.94e-05,7e-06,normal,1e-07,3.34e-06,0.0,0.0,3.34e-06,0.0
data\normal\normal_10_0021.jpg,1.0,0.0,6e-07,3.6e-07,6e-07,normal,0.0,6e-07,0.0,0.0,6e-07,0.0
data\normal\normal_10_0022.jpg,1.0,0.0,5e-07,2.4e-07,4e-07,normal,0.0,5e-07,0.0,0.0,5e-07,0.0
data\normal\normal_10_0023.jpg,1.0,6.5e-06,4.07e-05,4.29e-05,7.033e-05,normal,6.5e-06,4.07e-05,0.0,0.0,4.07e-05,0.0
data\normal\normal_10_0024.jpg,1.0,1.66e-05,2.53e-05,3.517e-05,3.564e-05,normal,1.66e-05,2.53e-05,0.0,0.0,2.53e-05,0.0
data\normal\normal_10_0025.jpg,0.988,0.000151,0.000725,0.000828,0.01074,normal,0.000151,0.000725,0.0,0.0016051364365971107,0.000725,0.0016051364365971107
data\normal\normal_10_0026.jpg,0.998,0.000255,0.0006876,0.0004208,0.0005226,normal,0.000255,0.0006876,0.00043252595155709344,0.001962708537782139,0.0006876,0.001962708537782139
data\normal\normal_10_0027.jpg,0.991,0.001159,0.001545,0.00395,0.002047,normal,0.001159,0.001545,0.00027240533914464724,0.0024390243902439024,0.001545,0.0024390243902439024
data\normal\normal_10_0028.jpg,0.9517,0.00911,0.01268,0.01214,0.01427,normal,0.00911,0.01268,0.00967741935483871,0.01909307875894988,0.01268,0.01909307875894988
data\normal\normal_10_0029.jpg,0.9893,0.00147,0.004,0.002085,0.003155,normal,0.00147,0.004,0.000749063670411985,0.004464285714285714,0.004,0.004464285714285714
data\normal\normal_10_0030.jpg,0.9976,9e-07,3.433e-05,6.1e-06,0.00234,normal,9e-07,3.433e-05,0.0,0.0,3.433e-05,0.0
data\normal\normal_10_0031.jpg,0.9434,0.00455,0.02995,0.0194,0.00281,normal,0.00455,0.02995,0.0017964071856287425,0.026871401151631478,0.02995,0.026871401151631478
data\normal\normal_10_0032.jpg,0.984,8.8e-06,0.0001569,5.03e-05,0.01578,normal,8.8e-06,0.0001569,0.0,0.0,0.0001569,0.0
data\normal\normal_10_0033.jpg,0.999,0.000138,0.000158,0.0002663,0.0004175,normal,0.000138,0.000158,0.0,0.0,0.000158,0.0
data\normal\normal_10_0034.jpg,0.994,2.73e-05,0.000736,0.0001155,0.004818,normal,2.73e-05,0.000736,0.0,0.001962708537782139,0.000736,0.001962708537782139
data\normal\normal_10_0035.jpg,1.0,3.4e-06,1.8e-05,4.26e-05,1.043e-05,normal,3.4e-06,1.8e-05,0.0,0.0,1.8e-05,0.0
data\normal\normal_10_0036.jpg,0.994,0.0006995,0.001193,0.002342,0.001428,normal,0.0006995,0.001193,0.0,0.0016051364365971107,0.001193,0.0016051364365971107
data\normal\normal_10_0037.jpg,0.9995,4.786e-05,9.66e-05,8.24e-05,7.34e-05,normal,4.786e-05,9.66e-05,0.0,0.0,9.66e-05,0.0
data\normal\normal_10_0038.jpg,0.9404,8.3e-06,0.0002286,0.000379,0.05875,normal,8.3e-06,0.0002286,0.0,0.0,0.0002286,0.0
data\normal\normal_10_0039.jpg,0.9927,0.001083,0.000951,0.003027,0.002064,normal,0.001083,0.000951,0.000749063670411985,0.0016051364365971107,0.001083,0.0016051364365971107
data\normal\normal_10_0040.jpg,0.997,6.26e-05,7.42e-05,0.00257,0.0001876,normal,6.26e-05,7.42e-05,0.0,0.0,7.42e-05,0.0
data\normal\normal_10_0041.jpg,0.999,4.345e-05,0.0001839,0.000814,0.00011116,normal,4.345e-05,0.0001839,0.0,0.0,0.0001839,0.0
data\normal\normal_10_0042.jpg,0.9995,1.734e-05,5.03e-05,0.0002596,5.03e-05,normal,1.734e-05,5.03e-05,0.0,0.0,5.03e-05,0.0
data\normal\normal_10_0043.jpg,1.0,6.6e-07,8.8e-06,3.49e-05,2.88e-05,normal,6.6e-07,8.8e-06,0.0,0.0,8.8e-06,0.0
data\normal\normal_10_0044.jpg,0.998,0.0002178,0.0002111,0.0005164,0.001147,normal,0.0002178,0.0002111,0.0,0.0,0.0002178,0.0
data\normal\normal_10_0045.jpg,0.2737,0.1082,0.4268,0.1364,0.05493,normal,0.1082,0.4268,0.18,0.6111111111111112,0.4268,0.6111111111111112
data\normal\normal_10_0046.jpg,0.999,8.31e-05,0.0002606,0.00010544,0.0006075,normal,8.31e-05,0.0002606,0.0,0.0,0.0002606,0.0
data\normal\normal_10_0047.jpg,0.998,0.0002426,0.0001824,0.000605,0.0009174,normal,0.0002426,0.0001824,0.00027240533914464724,0.0,0.0002426,0.00027240533914464724
data\normal\normal_10_0048.jpg,0.9976,0.0003355,0.000618,0.0006547,0.0006957,normal,0.0003355,0.000618,0.00043252595155709344,0.001962708537782139,0.000618,0.001962708537782139
data\normal\normal_10_0049.jpg,0.9775,0.004738,0.004658,0.005444,0.00782,normal,0.004738,0.004658,0.0017964071856287425,0.006309148264984227,0.004738,0.006309148264984227
data\normal\normal_10_0050.jpg,1.0,4.05e-06,1.77e-05,1.98e-05,1.22e-05,normal,4.05e-06,1.77e-05,0.0,0.0,1.77e-05,0.0
data\normal\normal_10_0051.jpg,0.994,0.0008097,0.001459,0.001275,0.002148,normal,0.0008097,0.001459,0.0,0.0016051364365971107,0.001459,0.0016051364365971107
data\normal\normal_10_0052.jpg,0.998,0.0001217,0.0002973,0.0004265,0.001085,normal,0.0001217,0.0002973,0.0,0.0,0.0002973,0.0
data\normal\normal_10_0053.jpg,1.0,2.8e-06,1.043e-05,1.8e-05,8.4e-06,normal,2.8e-06,1.043e-05,0.0,0.0,1.043e-05,0.0
data\normal\normal_10_0054.jpg,0.9956,0.000383,0.001217,0.001887,0.000679,normal,0.000383,0.001217,0.0,0.0016051364365971107,0.001217,0.0016051364365971107
data\normal\normal_10_0055.jpg,0.9995,4.28e-05,3.64e-05,9.61e-05,0.0002189,normal,4.28e-05,3.64e-05,0.0,0.0,4.28e-05,0.0
data\normal\normal_10_0056.jpg,0.998,0.0002766,0.0004427,0.000615,0.000511,normal,0.0002766,0.0004427,0.0,0.0,0.0004427,0.0
data\normal\normal_10_0057.jpg,0.9995,4.6e-05,5.21e-05,0.0001695,0.000408,normal,4.6e-05,5.21e-05,0.0,0.0,5.21e-05,0.0
data\normal\normal_10_0058.jpg,0.9995,3.403e-05,0.0001039,0.00010127,0.0001324,normal,3.403e-05,0.0001039,0.0,0.0,0.0001039,0.0
data\normal\normal_10_0059.jpg,0.9927,0.001487,0.002,0.001874,0.00201,normal,0.001487,0.002,0.000749063670411985,0.003940886699507389,0.002,0.003940886699507389
data\normal\normal_10_0060.jpg,0.996,0.0004222,0.0008683,0.00215,0.000617,normal,0.0004222,0.0008683,0.0,0.0016051364365971107,0.0008683,0.0016051364365971107
data\normal\normal_10_0061.jpg,0.9976,0.0003626,0.0005016,0.0008397,0.0006127,normal,0.0003626,0.0005016,0.00043402777777777775,0.0008237232289950577,0.0005016,0.0008237232289950577
data\normal\normal_10_0062.jpg,0.989,0.0002446,0.00333,0.001444,0.00607,normal,0.0002446,0.00333,0.00043402777777777775,0.005226480836236934,0.00333,0.005226480836236934
data\normal\normal_10_0063.jpg,0.9985,0.0001684,0.000213,0.0001814,0.000678,normal,0.0001684,0.000213,0.0,0.0,0.000213,0.0
data\normal\normal_10_0065.jpg,0.9995,6.944e-05,0.000177,0.0001485,0.0001839,normal,6.944e-05,0.000177,0.0,0.0,0.000177,0.0
data\normal\normal_10_0066.jpg,1.0,3e-07,1.097e-05,1.8e-06,5e-06,normal,3e-07,1.097e-05,0.0,0.0,1.097e-05,0.0
data\normal\normal_10_0068.jpg,0.9946,0.0008245,0.001311,0.002052,0.0009556,normal,0.0008245,0.001311,0.00043252595155709344,0.002472187886279357,0.001311,0.002472187886279357
data\normal\normal_10_0071.jpg,1.0,2.4e-06,2.85e-05,0.000132,4.1e-06,normal,2.4e-06,2.85e-05,0.0,0.0,2.85e-05,0.0
data\normal\normal_10_0072.jpg,0.9985,0.0001447,0.0003545,0.0003998,0.0003662,normal,0.0001447,0.0003545,0.0,0.0,0.0003545,0.0
data\normal\normal_10_0073.jpg,0.999,3.6e-06,7e-05,0.0001025,0.0007005,normal,3.6e-06,7e-05,0.0,0.0,7e-05,0.0
data\normal\normal_10_0074.jpg,1.0,5.84e-06,1.74e-05,2.056e-05,0.0001068,normal,5.84e-06,1.74e-05,0.0,0.0,1.74e-05,0.0
data\normal\normal_10_0075.jpg,0.993,0.0002635,0.002708,0.003735,0.0002102,normal,0.0002635,0.002708,0.00043252595155709344,0.0033594624860022394,0.002708,0.0033594624860022394
data\normal\normal_10_0076.jpg,0.988,0.000175,0.001683,0.001032,0.009155,normal,0.000175,0.001683,0.0,0.001128668171557562,0.001683,0.001128668171557562
data\normal\normal_10_0078.jpg,0.994,0.000455,0.0004833,0.0006695,0.004444,normal,0.000455,0.0004833,0.00043252595155709344,0.001962708537782139,0.0004833,0.001962708537782139
data\normal\normal_10_0079.jpg,0.9985,0.0001245,0.000282,0.000504,0.000457,normal,0.0001245,0.000282,0.0,0.0,0.000282,0.0
data\normal\normal_10_0080.jpg,0.9995,4.6e-05,0.00010306,5.55e-05,7.18e-05,normal,4.6e-05,0.00010306,0.0,0.0,0.00010306,0.0
data\normal\normal_10_0081.jpg,0.991,0.002083,0.001081,0.001957,0.003698,normal,0.002083,0.001081,0.0007446016381236039,0.0008237232289950577,0.002083,0.0008237232289950577
data\normal\normal_10_0082.jpg,0.999,0.0001056,0.0004354,0.0002197,0.0003538,normal,0.0001056,0.0004354,0.0,0.0,0.0004354,0.0
data\normal\normal_10_0083.jpg,0.998,0.0001868,0.0002933,0.000264,0.001009,normal,0.0001868,0.0002933,0.00043591979075850045,0.0,0.0002933,0.00043591979075850045
data\normal\normal_10_0084.jpg,0.9795,0.002619,0.008705,0.005325,0.00366,normal,0.002619,0.008705,0.0017964071856287425,0.015748031496062992,0.008705,0.015748031496062992
data\normal\normal_10_0085.jpg,0.9995,1.72e-05,8.56e-05,0.0004992,3.69e-05,normal,1.72e-05,8.56e-05,0.0,0.0,8.56e-05,0.0
data\normal\normal_10_0086.jpg,0.997,0.0003386,0.0007205,0.000928,0.0008254,normal,0.0003386,0.0007205,0.00043591979075850045,0.0012391573729863693,0.0007205,0.0012391573729863693
data\normal\normal_10_0087.jpg,0.9985,0.000134,0.0002904,0.000718,0.0003104,normal,0.000134,0.0002904,0.0,0.0,0.0002904,0.0
data\normal\normal_10_0088.jpg,0.983,0.000647,0.005276,0.00985,0.001199,normal,0.000647,0.005276,0.00027240533914464724,0.003302146395156852,0.005276,0.003302146395156852
data\normal\normal_10_0089.jpg,0.9976,7.457e-05,0.00054,0.001434,0.0001831,normal,7.457e-05,0.00054,0.0,0.0,0.00054,0.0
data\normal\normal_10_0090.jpg,0.9985,9.465e-05,0.0003018,0.000704,0.0003293,normal,9.465e-05,0.0003018,0.0,0.0,0.0003018,0.0
data\normal\normal_10_0091.jpg,0.97,0.0007997,0.005947,0.00528,0.01758,normal,0.0007997,0.005947,0.00043591979075850045,0.00510204081632653,0.005947,0.00510204081632653
data\normal\normal_10_0092.jpg,0.9966,0.000494,0.001402,0.0007997,0.0008903,normal,0.000494,0.001402,0.00043402777777777775,0.001128668171557562,0.001402,0.001128668171557562
data\normal\normal_10_0093.jpg,0.9995,2.176e-05,0.00012183,6.45e-05,4.38e-05,normal,2.176e-05,0.00012183,0.0,0.0,0.00012183,0.0
data\normal\normal_10_0094.jpg,0.9946,0.0004873,0.002989,0.0009336,0.001139,normal,0.0004873,0.002989,0.00043591979075850045,0.004166666666666667,0.002989,0.004166666666666667
data\normal\normal_10_0095.jpg,0.9956,0.00068,0.001131,0.001103,0.001388,normal,0.00068,0.001131,0.00043402777777777775,0.001128668171557562,0.001131,0.001128668171557562
data\normal\normal_10_0096.jpg,1.0,1.5e-06,2.2e-06,1.11e-05,2.134e-05,normal,1.5e-06,2.2e-06,0.0,0.0,2.2e-06,0.0
data\normal\normal_10_0097.jpg,0.983,0.003716,0.00534,0.00498,0.003143,normal,0.003716,0.00534,0.0017964071856287425,0.006309148264984227,0.00534,0.006309148264984227
data\normal\normal_10_0098.jpg,1.0,1.82e-05,2.164e-05,4.72e-05,6.324e-05,normal,1.82e-05,2.164e-05,0.0,0.0,2.164e-05,0.0
data\normal\normal_10_0099.jpg,0.999,9.66e-05,0.0001581,0.0001172,0.0003762,normal,9.66e-05,0.0001581,0.0,0.0,0.0001581,0.0
data\normal\normal_10_0100.jpg,0.996,0.0003853,0.001123,0.001767,0.000859,normal,0.0003853,0.001123,0.00043252595155709344,0.002472187886279357,0.001123,0.002472187886279357
data\normal\normal_10_0101.jpg,0.998,6.723e-05,6.074e-05,8.65e-05,0.001532,normal,6.723e-05,6.074e-05,0.0,0.0,6.723e-05,0.0
data\normal\normal_10_0102.jpg,0.9966,0.000266,0.000841,0.0004997,0.001717,normal,0.000266,0.000841,0.00043591979075850045,0.0012391573729863693,0.000841,0.0012391573729863693
data\normal\normal_10_0103.jpg,0.9854,0.003,0.003567,0.004536,0.003778,normal,0.003,0.003567,0.0017964071856287425,0.004464285714285714,0.003567,0.004464285714285714
data\normal\normal_10_0104.jpg,0.9995,7.975e-05,0.0001347,0.0002147,0.0002987,normal,7.975e-05,0.0001347,0.0,0.0,0.0001347,0.0
data\normal\normal_10_0105.jpg,0.9985,0.0001597,0.0002973,0.0002232,0.0007925,normal,0.0001597,0.0002973,0.0,0.0,0.0002973,0.0
data\normal\normal_10_0106.jpg,0.99,0.001353,0.001157,0.00466,0.002605,normal,0.001353,0.001157,0.0007564296520423601,0.0025157232704402514,0.001353,0.0025157232704402514
data\normal\normal_10_0107.jpg,0.997,0.000457,0.001147,0.00096,0.00058,normal,0.000457,0.001147,0.00027240533914464724,0.0024390243902439024,0.001147,0.0024390243902439024
data\normal\normal_10_0108.jpg,0.9927,0.000321,0.001724,0.00465,0.000651,normal,0.000321,0.001724,0.00043252595155709344,0.0033594624860022394,0.001724,0.0033594624860022394
data\normal\normal_10_0109.jpg,0.9995,6.497e-05,8.56e-05,0.000126,0.000249,normal,6.497e-05,8.56e-05,0.0,0.0,8.56e-05,0.0
data\normal\normal_10_0110.jpg,0.999,9.656e-05,0.000374,0.0003076,0.0003097,normal,9.656e-05,0.000374,0.0,0.0,0.000374,0.0
data\normal\normal_10_0111.jpg,0.999,0.00010103,0.0001099,0.0003405,0.0001944,normal,0.00010103,0.0001099,0.0,0.0,0.0001099,0.0
data\normal\normal_10_0112.jpg,0.998,0.0001471,0.000937,0.0005445,0.0004122,normal,0.0001471,0.000937,0.0,0.0012391573729863693,0.000937,0.0012391573729863693
data\normal\normal_10_0113.jpg,0.9683,0.0002404,0.00309,0.02742,0.0009756,normal,0.0002404,0.00309,0.00043402777777777775,0.004048582995951417,0.00309,0.004048582995951417
data\normal\normal_10_0114.jpg,0.842,0.0001015,0.002306,0.00099,0.1548,normal,0.0001015,0.002306,0.0,0.0025906735751295338,0.002306,0.0025906735751295338
data\normal\normal_10_0115.jpg,0.9995,1.234e-05,0.000167,8.66e-05,0.0001286,normal,1.234e-05,0.000167,0.0,0.0,0.000167,0.0
data\normal\normal_10_0116.jpg,0.9976,0.0002309,0.00073,0.0006256,0.001002,normal,0.0002309,0.00073,0.00043252595155709344,0.001962708537782139,0.00073,0.001962708537782139
data\normal\normal_10_0117.jpg,0.9995,2.29e-05,5.233e-05,6.68e-05,0.0002083,normal,2.29e-05,5.233e-05,0.0,0.0,5.233e-05,0.0
data\normal\normal_10_0118.jpg,1.0,3e-07,5.245e-05,2.366e-05,6.65e-05,normal,3e-07,5.245e-05,0.0,0.0,5.245e-05,0.0
data\normal\normal_10_0119.jpg,0.9995,4.375e-05,0.0001671,5.41e-05,7.1e-05,normal,4.375e-05,0.0001671,0.0,0.0,0.0001671,0.0
data\normal\normal_10_0120.jpg,0.9995,5.895e-05,7.34e-05,0.0001231,0.0002197,normal,5.895e-05,7.34e-05,0.0,0.0,7.34e-05,0.0
data\normal\normal_10_0121.jpg,0.993,0.0001067,0.00531,0.0005546,0.0007963,normal,0.0001067,0.00531,0.0,0.006309148264984227,0.00531,0.006309148264984227
data\normal\normal_10_0122.jpg,0.998,0.0001432,0.0008574,0.0007005,0.0002222,normal,0.0001432,0.0008574,0.0,0.0012391573729863693,0.0008574,0.0012391573729863693
data\normal\normal_10_0123.jpg,0.9985,0.0002142,0.000296,0.0002859,0.0006967,normal,0.0002142,0.000296,0.00043402777777777775,0.0,0.000296,0.00043402777777777775
data\normal\normal_10_0124.jpg,0.9897,0.0008073,0.0005536,0.002441,0.006546,normal,0.0008073,0.0005536,0.00043252595155709344,0.001962708537782139,0.0008073,0.001962708537782139
data\normal\normal_10_0125.jpg,0.9526,0.001924,0.03018,0.01107,0.00409,normal,0.001924,0.03018,0.0007446016381236039,0.030303030303030304,0.03018,0.030303030303030304
data\normal\normal_10_0126.jpg,0.98,0.003376,0.00207,0.0063,0.00837,normal,0.003376,0.00207,0.0012055455093429777,0.003302146395156852,0.003376,0.003302146395156852
data\normal\normal_10_0127.jpg,0.9995,1.42e-05,0.0001049,0.0002606,6.473e-05,normal,1.42e-05,0.0001049,0.0,0.0,0.0001049,0.0
data\normal\normal_10_0128.jpg,0.9536,0.0007453,0.0368,0.006832,0.00221,normal,0.0007453,0.0368,0.00043252595155709344,0.03484320557491289,0.0368,0.03484320557491289
data\normal\normal_10_0129.jpg,1.0,2.4e-07,5.2e-06,2.223e-05,3.9e-06,normal,2.4e-07,5.2e-06,0.0,0.0,5.2e-06,0.0
data\normal\normal_10_0130.jpg,1.0,6e-07,6.44e-06,2.19e-05,6.5e-06,normal,6e-07,6.44e-06,0.0,0.0,6.44e-06,0.0
data\normal\normal_10_0131.jpg,0.9985,0.0002859,0.000319,0.0002728,0.0007586,normal,0.0002859,0.000319,0.00027240533914464724,0.0,0.000319,0.00027240533914464724
data\normal\normal_10_0132.jpg,0.9976,6.75e-05,0.0001538,0.0008597,0.001194,normal,6.75e-05,0.0001538,0.0,0.0,0.0001538,0.0
data\normal\normal_10_0133.jpg,1.0,1.9e-06,9.3e-06,2.42e-05,9.54e-06,normal,1.9e-06,9.3e-06,0.0,0.0,9.3e-06,0.0
data\normal\normal_10_0134.jpg,0.972,0.0007524,0.00385,0.02153,0.001547,normal,0.0007524,0.00385,0.0,0.004464285714285714,0.00385,0.004464285714285714
data\normal\normal_10_0135.jpg,0.9946,0.000723,0.0005207,0.000562,0.003609,normal,0.000723,0.0005207,0.00043402777777777775,0.0008237232289950577,0.000723,0.0008237232289950577
data\normal\normal_10_0137.jpg,0.9995,3.61e-05,4.62e-05,9.024e-05,0.000368,normal,3.61e-05,4.62e-05,0.0,0.0,4.62e-05,0.0
data\normal\normal_10_0138.jpg,0.982,0.002365,0.002205,0.005253,0.008484,normal,0.002365,0.002205,0.001243008079552517,0.0025906735751295338,0.002365,0.0025906735751295338
data\normal\normal_10_0139.jpg,0.994,0.000662,0.0003302,0.002674,0.00242,normal,0.000662,0.0003302,0.00027240533914464724,0.0,0.000662,0.00027240533914464724
data\normal\normal_10_0140.jpg,0.999,7.77e-05,0.0001794,0.0002326,0.000533,normal,7.77e-05,0.0001794,0.0,0.0,0.0001794,0.0
data\normal\normal_10_0141.jpg,1.0,2.74e-06,8.19e-05,2.426e-05,5.6e-06,normal,2.74e-06,8.19e-05,0.0,0.0,8.19e-05,0.0
data\normal\normal_10_0142.jpg,0.995,0.0004792,0.001527,0.001279,0.00158,normal,0.0004792,0.001527,0.00027240533914464724,0.0024390243902439024,0.001527,0.0024390243902439024
data\normal\normal_10_0143.jpg,0.994,0.0001463,9.614e-05,0.000628,0.00482,normal,0.0001463,9.614e-05,0.0,0.0,0.0001463,0.0
data\normal\normal_10_0144.jpg,1.0,4e-06,1.085e-05,3.22e-05,0.000169,normal,4e-06,1.085e-05,0.0,0.0,1.085e-05,0.0
data\normal\normal_10_0145.jpg,0.9976,0.000211,0.000874,0.000945,0.0004983,normal,0.000211,0.000874,0.00043402777777777775,0.0008237232289950577,0.000874,0.0008237232289950577
data\normal\normal_10_0146.jpg,0.997,0.0001526,0.000557,0.0007887,0.001294,normal,0.0001526,0.000557,0.0,0.001953125,0.000557,0.001953125
data\normal\normal_10_0147.jpg,0.998,0.0001213,0.0002226,0.0005803,0.000941,normal,0.0001213,0.0002226,0.0,0.0,0.0002226,0.0
data\normal\normal_10_0148.jpg,0.998,0.0002161,0.0007744,0.000826,0.0003097,normal,0.0002161,0.0007744,0.00043402777777777775,0.0008237232289950577,0.0007744,0.0008237232289950577
data\normal\normal_10_0149.jpg,0.9985,0.0001167,0.0003006,0.0008545,0.0001281,normal,0.0001167,0.0003006,0.0,0.0,0.0003006,0.0
data\normal\normal_10_0150.jpg,0.9985,8.67e-05,0.001118,3.31e-05,6.82e-05,normal,8.67e-05,0.001118,0.0,0.0024390243902439024,0.001118,0.0024390243902439024
data\normal\normal_10_0151.jpg,0.996,0.0001824,3.06e-05,0.0001956,0.00356,normal,0.0001824,3.06e-05,0.0,0.0,0.0001824,0.0
data\normal\normal_10_0152.jpg,0.9995,4.965e-05,0.0001121,0.0001582,0.0001571,normal,4.965e-05,0.0001121,0.0,0.0,0.0001121,0.0
data\normal\normal_10_0153.jpg,0.9653,0.00584,0.00406,0.013824,0.01112,normal,0.00584,0.00406,0.0018148820326678765,0.00510204081632653,0.00584,0.00510204081632653
data\normal\normal_10_0154.jpg,1.0,4e-07,4.05e-06,3.487e-05,3.8e-06,normal,4e-07,4.05e-06,0.0,0.0,4.05e-06,0.0
data\normal\normal_10_0155.jpg,0.803,0.02164,0.03705,0.1054,0.03268,normal,0.02164,0.03705,0.009216589861751152,0.035256410256410256,0.03705,0.035256410256410256
data\normal\normal_10_0156.jpg,0.9966,0.0004113,0.001107,0.0011015,0.0006413,normal,0.0004113,0.001107,0.00027240533914464724,0.0024390243902439024,0.001107,0.0024390243902439024
data\normal\normal_10_0157.jpg,0.993,0.0003717,0.001595,0.001406,0.003368,normal,0.0003717,0.001595,0.00043402777777777775,0.001128668171557562,0.001595,0.001128668171557562
data\normal\normal_10_0158.jpg,0.991,0.001281,0.001438,0.003365,0.002937,normal,0.001281,0.001438,0.0007564296520423601,0.0025157232704402514,0.001438,0.0025157232704402514
data\normal\normal_10_0159.jpg,0.979,1.5e-06,8.965e-05,3.15e-05,0.02072,normal,1.5e-06,8.965e-05,0.0,0.0,8.965e-05,0.0
data\normal\normal_10_0160.jpg,0.9976,0.0001979,0.0003288,0.000869,0.0008597,normal,0.0001979,0.0003288,0.00043402777777777775,0.0,0.0003288,0.00043402777777777775
data\normal\normal_10_0161.jpg,1.0,8.3e-07,5e-06,5.5e-06,7.75e-06,normal,8.3e-07,5e-06,0.0,0.0,5e-06,0.0
data\normal\normal_10_0162.jpg,0.989,0.000553,0.001192,0.00823,0.001393,normal,0.000553,0.001192,0.00027240533914464724,0.0024390243902439024,0.001192,0.0024390243902439024
data\normal\normal_10_0163.jpg,1.0,8e-07,1.67e-06,3e-06,1.62e-05,normal,8e-07,1.67e-06,0.0,0.0,1.67e-06,0.0
data\normal\normal_10_0164.jpg,0.9995,6.26e-06,7.087e-05,9.46e-05,0.0002173,normal,6.26e-06,7.087e-05,0.0,0.0,7.087e-05,0.0
data\normal\normal_10_0165.jpg,0.992,5.1e-06,6.425e-05,0.0001025,0.0078,normal,5.1e-06,6.425e-05,0.0,0.0,6.425e-05,0.0
data\normal\normal_10_0166.jpg,0.9956,0.000538,0.000944,0.001106,0.001807,normal,0.000538,0.000944,0.00043402777777777775,0.0008237232289950577,0.000944,0.0008237232289950577
data\normal\normal_10_0167.jpg,0.9985,0.0001452,0.0004342,0.0004854,0.0006084,normal,0.0001452,0.0004342,0.0,0.0,0.0004342,0.0
data\normal\normal_10_0168.jpg,0.998,0.0001909,0.0006876,0.0005217,0.000337,normal,0.0001909,0.0006876,0.00043591979075850045,0.0012391573729863693,0.0006876,0.0012391573729863693
data\normal\normal_10_0169.jpg,0.9995,6.88e-05,0.0001504,5.215e-05,0.0001951,normal,6.88e-05,0.0001504,0.0,0.0,0.0001504,0.0
